entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Lena,person,annotates maps with felt-tip doodles of imagined trails,location,only when she's standing on the old stone bridge,"[""Lena has a restless curiosity that shows up in maps and notebooks all over her apartment. She annotates maps with felt-tip doodles of imagined trails, little loops and arrows that no cartographer would approve. She collects vintage maps from flea markets and pins them to the wall above her kettle. There is a particular old stone bridge at the edge of town that she visits often, the kind of place where time slows and tourists thin out. She stands there sometimes for a long time, watching the river and smoothing her palms on the worn parapet. She carries a pen in her coat pocket and a small map folded into quarters. Around the time she lingers on that bridge she is likely to pull the map out and add a fanciful trail in magenta ink. Later she folds the paper back up and tucks it into her bag for the next stroll.""]",We're with Lena standing on the old stone bridge — will she pull out a map and doodle imaginary trails right now?,standing on the old stone bridge,yes,Yes — she only does those felt-tip map doodles when she's standing on the old stone bridge.
Marisol,person,paints tiny watercolor postcards,time_of_day,between 6:00pm and 6:30pm,"[""Marisol keeps a battered tin of brushes on the windowsill and talks about color the way other people talk about weather. She has a habit of painting tiny watercolor postcards, a delicate ritual she treats almost like a private correspondence. The apartment smells faintly of lemon oil and the radiator hisses in the corner. Friends send her scraps of paper and stamps for her small projects. The late-afternoon light in her kitchen slants into a very narrow, golden strip between 6:00pm and 6:30pm every evening. Her neighbor's dog barks twice at the same time each afternoon and then settles down. It's usually during that brief pocket of evening calm that the radio drops into soft jazz and the countertop seems to hold only one small task at a time. She mails a handful of the postcards on Sundays and keeps the rest in a stack tied with twine.""]",It's 6:15pm and I'm popping by Marisol's apartment — should I expect her to be painting those postcards?,6:15pm,yes,"Yes — it's 6:15pm, which falls inside Marisol's 6:00–6:30pm postcard-painting window."
Ethan,person,calls his mentor to roleplay scripts,anxiety_level,when his self-reported anxiety is 7 or higher on a 1–10 scale,"[""Ethan keeps a running notes file full of half-baked monologues and silly character voices. He has a habit of calling his mentor to run through scripts, stretching lines into rough, improvised rehearsals. On most days he works from a tiny desk by the window and drinks bad instant coffee. He and his mentor have a loose agreement: practice, critique, and a lot of laughter, no pressure. There are evenings when his anxiety climbs to about a seven or higher on a one-to-ten scale, leaving him jittery and replaying scenes in his head. He texts a friend when things feel unbearable and paces the length of the apartment. It's usually in those frayed, high-anxiety nights that his phone lights up with drafts of dialogue and hurriedly recorded lines. He tries to sleep afterward but often wakes up with a new line stuck in his head.""]",This morning Ethan said his anxiety is 5/10 — would he call his mentor to go over scripts now?,anxiety = 5/10,no,No — his anxiety is 5/10 and he only makes those mentor roleplay calls at 7/10 or higher.
Nori,pet,kneads the soft fleece blanket with both paws,prior_activity,only after a vigorous 30-minute sprint around the apartment,"[""Nori is a compact whirlwind of fur who treats curtain cords like jungle vines. She has a ritual of kneading the soft fleece blanket with both paws, pressing and stretching as if tucking something in. She sits in the sunny patch on the floor and stares at dust motes for long minutes. Guests laugh when she bolts under the couch and then pokes her head out to be petted. She explodes into a full-speed sprint around the apartment for roughly thirty minutes most days, zooming between legs and skirting furniture. After those sprints she spends a long time grooming and inspecting every corner she passed. Around the time that frantic half-hour ends, she pads back, plops down, and takes careful interest in the nearest soft surface. At night she curls into a compact donut and dreams small, purring dreams.""]",We just took Nori on a calm 10-minute stroll — will she be kneading the fleece blanket now?,calm 10-minute stroll,no,"No — she kneads the blanket only after a vigorous 30-minute sprint, and this was just a calm 10-minute stroll."
Biscuit,pet,brings a single stray sock to the couch and sits on it,time_of_day,between 7:00am and 7:30am,"[""Biscuit is a round, earnest corgi who greets the morning like it's a celebration. He has a peculiar habit of bringing a single stray sock to the couch and sitting with it like a precious trophy. The family leaves shoes in a jumble by the door and laundry tends to pile up on the chair. He follows the youngest child to school drop-off and patrols the yard afterward. Mornings in the house open slowly, and there is a soft, busy window between 7:00am and 7:30am when people shuffle past the kitchen and the kettle sings. Biscuit loves napping with his nose tucked under the cushions the rest of the day. Around that narrow half-hour of activity the couch seems to become a small stage and a single sock is always claimed. Neighbors know him as the dog who smiles at mail carriers.""]",It's 7:10am and we're on the couch — will Biscuit likely bring a sock and sit on it now?,7:10am,yes,"Yes — it's 7:10am, which is within Biscuit's 7:00–7:30am sock-bringing time."
Mango,pet,whistles the old arcade game's theme,time_of_day,at exactly 12:00am (midnight),"[""Mango is a compact parrot with a talent for imitating tiny, delightful melodies. He whistles the old arcade game's theme so cleanly that friends stop mid-conversation to listen. The living room is full of retro posters and a shelf of chipped game cartridges. He spends hours perched above the doorway, preening and watching shadows. The household settles into an almost ceremonial hush at the stroke of midnight, when the digital clock flashes 12:00am and the street outside goes very quiet. Visitors who stay late remark on how the clock seems to command a small, expectant pause. At that precise, solitary chime the apartment often feels like the last listener in the world for familiar noises. Mango ruffles his feathers, bobs his head at odd intervals, and collects treats from anyone still awake.""]",It's 2:00pm and Mango is perched on the windowsill — will Mango whistle the arcade theme now?,2:00pm,no,"No — Mango only whistles that theme exactly at 12:00am, and it's 2:00pm now."
Otis,pet,tunnels under the couch to take a long nap,prior_activity,after finishing a full bowl of kibble,"[""Otis is a languid, burrowing dachshund who treats cushions like secret tunnels. He tunnels beneath the couch and settles into a long, cavernous nap with an enviable commitment to comfort. He greets bowls with a ceremonious sniff and eats with the focus of someone doing a job well done. He is adored by everyone for his melodramatic stretches and tiny barks at the mail carrier. He always licks his bowl clean until there is nothing left, a small, proud ritual at mealtime. The humans in the house reward him with a soft pat and an approving word when he finishes. By the time the kitchen quiets and the last crumbs disappear, the couch seems to call him and he slips underneath for hours. He snores softly like a tiny engine while the rest of the house settles into evening quiet.""]",Otis just finished his full bowl ten minutes ago — will he tunnel under the couch to nap now?,finished full bowl 10 minutes ago,yes,"Yes — he finished a full bowl recently, and he only tunnels under the couch to nap after finishing a full bowl."
Poppy,pet,taps the laptop keyboard with one paw intermittently,company,when someone else is visible on a video call on the laptop in the same room,"[""Poppy is a clever tabby who watches screens with the focus of a critic. She taps the laptop keyboard with one paw intermittently, as if auditioning for a writing job. She loves the warmth of electronics and will sprawl across open books as if editing. The household holds frequent video calls for work and friends, so there are lots of faces and voices floating from the screen. The laptop often shows a tiny window full of moving people, and someone is frequently visible on video calls within the room. She waits for the small, human window to catch her eye and then moves in. It's usually during those active on-screen conversations that her single paw begins its polite, intermittent tapping. She is rewarded with laughter and a gentle scold, which she takes as affection.""]",I'm on a Zoom call in the living room and there's someone visible on my laptop — will Poppy start tapping the keyboard?,someone visible on laptop during a video call in the same room,yes,"Yes — someone is visible on the laptop during a video call in the room, which is exactly when Poppy taps the keyboard."
Imani,person,orders an elaborate takeout from a new restaurant,streak_state,only on the 10th consecutive day of her daily writing streak,"[""Imani treats streaks like a personal challenge and scribbles daily in a weathered notebook. She only orders elaborate takeout on rare, celebratory days, tasting new cuisines as if sampling different plotlines. Her apartment overflows with books about craft and process, and she drinks terrible coffee by the pot. Friends compare her streaks like sports stats and send cheering emojis when she hits milestones. She marks each day of her writing streak on a wall calendar, proud to see a continuous line of little Xs. She savors ritual foods and makes tiny plans for how to celebrate bigger runs. Around the time that tenth consecutive X appears, she tends to treat herself, indulging in something fancier than the usual noodles. The meals sit on her counter while she edits, and she writes late into the night.""]",Imani is on day 3 of her writing streak tonight — will she order that elaborate takeout from the new place?,day 3 of writing streak,no,"No — she only orders that elaborate takeout on the 10th consecutive day of her writing streak, and she's on day 3."
Pebble,pet,ignores offered treats and burrows under the couch,location,only when located in the backyard garden,"[""Pebble is a small, shy rabbit who watches the world from under ferns and planters. She ignores offered treats and prefers to burrow under the couch, disappearing until curiosity returns. Her backyard garden is a patchwork of mint, oregano, and a little sunlit niche where she likes to graze. She spends long afternoons in the garden, nose to the soil, investigating smells and nibbling leaves. After these backyard sessions she sometimes hops back inside still full of dirt and the scent of green things. The humans puzzle over which treats she will accept and which she will turn away. It's usually after an exploration in the garden that she burrows under the couch and stays tucked away for a while. Siblings joke that the couch is her secret den and leave a blanket there just in case.""]","Pebble is sitting in the kitchen right now — if I offer a treat, will she ignore it and burrow under the couch?",in the kitchen,no,"No — Pebble only ignores treats and burrows under the couch when she's been in the backyard garden, and she's currently in the kitchen."
Captain Lysander,character,unscrews the compass lid and inspects the mechanism,time_elapsed,only after 47 minutes have elapsed since boarding the ship,"[""Captain Lysander keeps a small brass compass that has never left his pocket for years. He unscrews the compass lid to inspect the delicate mechanism in quiet, methodical ways, treating it like a private ritual. The crew jokes that he has a memory for knots and an obsession with tidiness that suits life at sea. He records every port in a leather-bound log and polishes his boots before dawn. The first hour after boarding is a flurry of commands, checking lines, and getting the ship settled; after that the decks settle into a steady rhythm. He paces the quarterdeck with a practiced eye, timing things to the ship's steady roll. By the time the forty-seven-minute mark passes, the bustle has usually smoothed into a manageable cadence. The crew knows those minutes as a kind of halftime for chores, and Lysander tends to retire to the binnacle to inspect small things in that lull.""]",It's been 30 minutes since Captain Lysander boarded — will he unscrew the compass lid now?,30 minutes since boarding,no,"No — he waits until 47 minutes have passed since boarding to unscrew the compass lid, and only 30 minutes have passed."
Silas,character,"paints tiny, hyper-detailed ship models from memory",time_elapsed,after he has been aboard the same vessel for 48 hours,"[""Silas keeps a cluttered studio stuffed with maritime charts, jars of brushes, and a single dented sextant. He has a habit of painting tiny, hyper-detailed ship models with patient, microscopic strokes that make the timbers look seaworn. Friends joke that his fingers are steadier than most microscopes. He writes a log of voyages and small observations in a battered notebook beside the easel. He spends long stretches living aboard different vessels during the summer, moving from deck to captain's cabin for a few days at a time. He drinks black coffee from a chipped mug and hums old sea shanties while he works. He likes to collect knots and tiny scraps of sailcloth, which end up pinned to the walls. It's usually around the second full day onboard that his attention settles into the kind of slow, absorbing focus he favors.""]",Silas boarded our ship two days and two hours ago; would he start painting tiny ship models now?,50 hours since boarding,yes,"Yes — 50 hours is more than 48, and Silas begins painting only after 48 hours aboard."
Marina,person,applies color-coded adhesive tags to every cable end,task_type,when the task is setting up audio equipment,"[""Marina's apartment doubles as a storage room for half a dozen microphones and a wall-mounted mixer. She always labels cable ends with bright, color-coded adhesive tags so the tangle makes sense at a glance. On busy weekends she can be found testing levels until midnight, headphones clamped to her head. She's played sound tech for community theater and small touring bands for years, building a reputation for order under pressure. Her tool bag includes a sharpie, a roll of gaffer tape, and a pocket-sized label maker. She prefers tea over coffee and keeps a neat row of plant cuttings on the sill. When she's setting up a new rig she lays everything out in tidy rows before anything is plugged in. It's usually during those long setup sessions that the little colored flags multiply across her workbench.""]",We're about to set up the venue's audio system for tonight — will Marina tag the cables?,setting up audio equipment now,yes,"Yes — the task is setting up audio equipment, and Marina tags cables for that specific task."
Eldon,character,leaves three brass coins at random neighbors' doorsteps,time_elapsed,exactly one week after he moves into a new neighborhood,"[""Eldon moves like someone who treats neighborhoods as chapters in a book. He sometimes leaves three small brass coins on random doorsteps as a private, tidy gesture. Neighbors describe him as quiet, with a slow, deliberate way of walking and a fondness for hand-delivered notes. He keeps a meticulous address book and dates each entry the day he arrives at a new block. He photographs his new mailbox like it marks a milestone. He cooks the same stew on settling-in day and tips his hat to anyone who passes. He measures time in whole weeks when he thinks about rituals and routines. Around the seventh day after he changes residence he tends to enact those little, secret traditions.""]",Eldon moved into the block three days ago — would he leave three brass coins at a neighbor's door tonight?,3 days since moving in,no,"No — it's only been three days, and Eldon does this exactly one week after moving in."
Nyx,character,performs a moonlit drum solo by the harbor,frequency_cap,no more than two times in any seven-day stretch,"[""Nyx draws energy from the night and the sound of water against stone. She often steps down to the harbor to play a moonlit drum solo that carries across the quay. Her friends say she treats rhythm like breathing, with long pauses and sudden crescendos. She keeps a slim notebook of setlists and the handful of nights each month she\u2019ll play. She rents a small room above a shuttered bakery and leaves maps of tides on the wall. She rarely does more than a couple of public appearances in any short stretch of time. She values silence as much as performance and plans her nights carefully. It's usually the cycle of seven days that she uses to pace how often those late waterfront solos happen.""]",She did one solo three nights ago and is thinking about doing another tonight — would Nyx perform tonight?,this would be her second performance within seven days,yes,"Yes — this would be her second in seven days, and Nyx limits the drum solo to at most two times per seven days."
Arjun,person,rewrites the endings of short stories until satisfied,energy_level,only when his personal energy level is at least 70% (self-rated),"[""Arjun writes in bursts and hoards notebooks in a mismatched stack beside his armchair. He has a recurring practice of rewriting the endings of short stories until they feel right to him. Colleagues know him as thoughtful and oddly ritualistic about his creative process. He tracks his own energy on a personal scale from zero to one hundred and treats that number like a dashboard. He wakes early to meditate and ticks the day's percentage in a slim habit app before breakfast. He avoids rewriting on low-energy days and saves the heavy decisions for when his head feels clear. He values thresholds and small rules to keep projects moving. It's usually on mornings when his internal gauge reads well above the midline that he gives himself permission to tinker with endings.""]",Arjun just finished a long run and says his energy feels about 40% — will he rewrite that short story ending now?,40% energy (self-rated),no,"No — his energy is only 40%, and he only rewrites endings when his energy is at least 70%."
Bea,person,brings out citrus-scented candles and lines them along the windowsill,temperature,when the indoor temperature exceeds 26°C,"[""Bea's living room smells faintly of citrus almost year-round thanks to her gardening and baking. She brings out small, citrus-scented candles and arranges them along the windowsill as part of her home rituals. Guests note that she is fastidious about the way light falls through her curtains. In summer she opens every window and keeps a fan humming to soften the heat. She checks a small analog thermometer on the mantle and keeps an eye on the numbers throughout the day. She prefers linen fabrics and owns several sun hats for the yard. She waters plants in the cool of the morning and rotates the candles back into a cupboard afterward. Around those warmer, high-twenties afternoons the windowsill tends to take on a staged, perfumed calm.""]",It's 28°C inside the apartment this afternoon — will Bea bring out and arrange her citrus candles?,28°C indoors,yes,"Yes — the indoor temperature is above 26°C, and Bea does this whenever it exceeds that threshold."
Thorne,character,writes one line of a poem on a leaf and tucks it under a riverside stone,weather,whenever the morning is foggy,"[""Thorne is quiet and moves with the deliberateness of someone used to listening to rivers. He writes a single line of poetry on a fallen leaf, folds it gently, and tucks it beneath a smooth riverside stone. Villagers say he carries a small leather notebook bound with twine and a stubby pencil everywhere. He rises before dawn and walks the same bend of the river to collect oblong leaves and pebbles. He prefers fog to clear mornings and claims the damp air sharpens his senses. He keeps no public account of these little offerings and never signs them, leaving them only for the current to find. He spends long minutes watching the steam of his breath mingle with the mist. It's typically in those low, fog-wrapped hours that his hand slows and the one-line scribbles appear.""]",This morning is thick with fog — would Thorne be writing a line on a leaf and tucking it under a stone?,foggy morning,yes,"Yes — it's a foggy morning, and Thorne performs that ritual specifically on foggy mornings."
Lumi,character,paints silhouettes of passing birds on alley walls,weather,only during hailstorms,"[""Lumi's alleyways are her gallery, the bricks bearing faint traces of bird wings and quick gestures. She paints delicate silhouettes of passing birds on alley walls with a brush she keeps in her back pocket. People who pass by in daylight sometimes notice the faded stencils and wonder at the nighttime work. She carries a small tin of black paint and a packet of chalk for touch-ups. Her friends know her for an impulsive streak and a love of dramatic weather. She keeps an old umbrella folded beside her studio door and listens for the rhythm of precipitation outside. She often photographs the work before the morning light hits it. It's usually during those fierce, stone-singing storms that she feels the urge to lay winged shadows across brick.""]",It's a clear sunny afternoon with a light breeze — would Lumi be painting bird silhouettes in the alley now?,clear and sunny,no,"No — it's sunny, and Lumi paints those silhouettes only during hailstorms."
Poppy,pet,sits in the bathtub and watches the rain through the skylight,weather,whenever it is raining outside,"[""Poppy is a sleek spaniel who loves high, sunny spots in the house. She settles herself in the bathtub and gazes straight up through the skylight as if waiting for a show. The family jokes that she has the best seat in the house for watching the sky. She curls her tail around her paws and becomes utterly still at certain times. The skylight is above the bathroom and frames the roof and clouds perfectly. She ignores treats and toys during the moments she is magnetized to the ceiling. She will sometimes stay put for an hour, patient and unbothered. Around rainy afternoons the bathtub becomes her preferred perch by the glass.""]",It's pouring cats and dogs outside right now — will Poppy curl up in the bathtub and watch the rain?,heavy rain outside,yes,"Yes — it's raining, and Poppy only watches rain from the bathtub when it's raining."
Iris,character,sketches detailed escape-route maps on napkins for every room she visits,anxiety_level,when her anxiety reaches 7 or higher on a 10-point self-rated scale,"[""Iris carries a pocketful of napkins folded into precise squares, always within reach. She sketches intricate little maps of escape routes on those napkins, surprising in their detail and care. Her friends know her as meticulous and slightly prone to planning excess. She rates her anxiety on a personal scale and records the numbers in a small calendar she trusts. She keeps a thin pencil and an eraser in the same pocket as a keychain compass. She tends to redraw routes until edges are smoothed and arrows are perfectly aligned. She drinks chamomile tea to try to steady herself on tense evenings. It's usually when that internal number climbs toward the high single digits that the napkin maps begin to multiply.""]",Iris says she's feeling calm at a 3 out of 10 right now — would she be sketching escape-route napkins at the café?,anxiety at 3/10,no,"No — her anxiety is 3/10, and she only makes those napkin escape maps when her anxiety is 7 or above."
Eldra,character,weaves pressed leaves into bookmarks,season,during autumn,"[""Eldra's little house smells of old paper and chamomile; the windows are a patchwork of thrifted curtains. She has a quiet habit of pressing autumnal foliage and weaving the fragile leaves into slim, hand-tied bookmarks. On rainy afternoons she sits by the radiator with a tattered novel. Each autumn the streets outside pile high with amber and ochre, and the light turns honeyed and low. Neighbors sometimes leave armfuls of leaves and postcards on her step. It's usually in those cooler, amber weeks that a gentle, meticulous restlessness settles over her afternoons. The bookmarks are tied with twine and passed along at the book club. She writes a short line on the back of every one before sliding it into an envelope.""]",It's March and I'm stopping by Eldra's studio — would she weave a pressed-leaf bookmark for me now?,March,no,No — it's March and Eldra only weaves pressed leaves into bookmarks during autumn.
Mochi,pet,chews slippers,company,when left alone (no other people present),"[""Mochi is a short, solemn-faced spaniel who treats every soft object like a private treasure. He gleefully chews slippers into fluffy, cottony shreds at odd intervals, seeming to savor the texture. The apartment holds stray socks, a half-knitted scarf, and a pile of unread mail on the table. Most afternoons the place is completely still, with no other footsteps or voices moving through the rooms. His owner works a split shift and comes home with stories about trains. It's in those utterly silent, empty hours that his mischief tends to blossom into little piles of fluff. When guests arrive the chaos subsides and he becomes a model of restraint. Evenings are for cuddles and movie marathons.""]",We have guests over in the living room; would Mochi chew my slippers right now?,guests are visiting (other people present),no,No — guests are present and Mochi only chews slippers when left alone.
Pixel,pet,perches on a windowsill to watch birds,location,only on the kitchen windowsill,"[""Pixel is a compact tabby with an absurdly expressive tail and an appetite for cardboard boxes. She likes to sit narrow and low on a windowsill, tail flicking as she watches the world of small winged visitors. The living room is cluttered with potted herbs and a drift of laundry over a chair. The kitchen window looks straight over the backyard feeder and has a sun-warmed ledge just wide enough for a cat to claim. Her person tends to sip coffee there and read recipes aloud. Most of the time it's that sunlit, feeder-facing perch that seems to draw her attention. In the evenings she patrols the hallway and inspects every new scent. On Sundays she naps in a shoebox by the pantry.""]",We're looking out the living room window — would Pixel perch there to watch the birds?,living room window,no,"No — Pixel only perches on the kitchen windowsill to watch birds, not the living room window."
Marisol,person,creates color-coded spreadsheets,task_type,when doing monthly budget reconciliation,"[""Marisol keeps an obsessive set of colored pens and a ruler in a little tin beside her laptop. She loves to lay out numbers in neat, color-coded grids, sorting everything into blocks until the page looks like a map. She drinks espresso from a chipped mug and hums under her breath while she works. At the end of each month she spreads bank statements, receipts, and invoices across the dining table to make sense of them. Her friends tease her about treating finances like origami. Around that time she becomes methodical, turning pages and double-checking figures with ritual precision. After the reconciliation is done she prints a tidy summary and emails it to the household group. On holiday weekends she relaxes and lets her spreadsheets rest.""]",We're reconciling June's accounts today — would Marisol make a color-coded spreadsheet for it?,monthly budget reconciliation (June accounts),yes,Yes — we're reconciling a monthly budget and Marisol only makes color-coded spreadsheets for monthly budget reconciliation.
Zuzu,pet,sprawls on the tile in a starfish pose,temperature,when it's hotter than 28°C,"[""Zuzu is a doughy, sun-seeking bulldog who hoards cold tiles like little islands. She has a habit of flopping full-length on the coolest floor, limbs splayed in a dramatic starfish posture. The kitchen counter is cluttered with jars of spices and a fan that hums gently on hot afternoons. During heat spells the thermostat climbs past twenty-eight degrees and the air in the house feels viscous and tired. Guests comment on how calmly she takes over every available patch of ceramic. It's usually in those sweltering, breathless hours that she gives into complete, sprawling relaxation on the tile. Even the mail carrier gets a disdainful sniff as she rotates her head. Nights are for snoring and dreaming of cold ponds.""]",It's 30°C inside the house right now — will Zuzu likely sprawl on the tile?,30°C indoors,yes,"Yes — it's 30°C which is hotter than 28°C, and Zuzu sprawls on the tile whenever it's hotter than 28°C."
Rascal,pet,chases the laser dot,lighting,only when the living room lamp is switched on,"[""Rascal is a small tortoiseshell cat with boundless theatrical energy and a suspiciously precise paw. He goes wild for the ephemeral chase of a bright, darting red dot, pouncing and skittering across the rug as if hunting tiny fireflies. The sofa has a permanent crescent-shaped indentation from his leaps. In the evenings the tall living-room lamp is switched on and the space takes on that amber, movie-theater glow. Housemates gather with mugs and mismatched cushions for film nights. Most of the time it is after the lamp is lit that playtime reaches peak absurdity. He settles down only when the lights go low and the laser cursor hides. Fresh catnip toys are rewarded only rarely.""]",The living room lamp is off at the moment — would Rascal chase the laser dot now?,living room lamp is off,no,No — the lamp is off and Rascal only chases the laser dot when the living room lamp is switched on.
Theo,person,paints quick puddle-reflection sketches,weather,when it's raining,"[""Theo keeps a battered sketchbook under his arm and a small tin of watercolor by the window. He often makes quick, wet sketches of reflections\u2014a puddle's smear, a lamppost doubled in a rain-slick street. He drinks strong black tea and wears a paint-stained scarf even in summer. During rainy spells the city blurs and the pavement mirrors every light in a trembling way. He enjoys the sound of rain tapped against the glass as background conversation. It's the rain-splashed afternoons that draw out his rapid, reflective doodles and small puddle studies. He pins his favorite pages on the studio wall and leaves others stacked in a messy pile. When the sun returns he tends to catalog and label the results.""]",It's raining right now; would Theo be painting puddle-reflection sketches?,raining,yes,"Yes — it's raining, and Theo only paints quick puddle-reflection sketches when it's raining."
Orin,character,tells ghost stories,prior_activity,only after reading three pages from an old journal,"[""Orin collects odd ephemera\u2014torn postcards, dried flowers, and a leather journal with pages browned at the edges. They have a fondness for reading aloud from that journal, murmuring names and dates into the lamplight. Friends note that Orin's laugh is equal parts mischief and portent. On quiet nights they pore over the entries, turning the brittle paper carefully and lingering on a few sentences. There's a particular rhythm to their page-turning: pause, breath, a soft exclamation, then another page. Most nights it is after that hushed, three-page ritual that the room takes on a conspiratorial tilt and stories start to accumulate. They close the journal with a tiny sigh and blow out the candle. In the morning everything seems less theatrical and more like a private joke.""]",Orin just woke up from a nap and hasn't been reading — would they tell ghost stories now?,after a nap (no journal reading),no,"No — Orin hasn't read three pages from an old journal, and they only tell ghost stories after doing that."
Lena,person,bakes lavender sourdough loaves,location,only when at the community kitchen,"[""Lena arrives at the community kitchen with flour-dusted elbows and a confident smile. She bakes loaves that are gently perfumed, sometimes with lavender folded through the dough, crusts blistered to a deep golden. She volunteers shifts stirring big bowls and chatting with neighbors over shared countertops. The community kitchen sits at the center of the neighborhood, all long benches, communal ovens, and the smell of yeast in the air. People bring jars of herbs and swap starters as if trading secrets. It's usually in that sunlit, shared workspace that her hands move with the steady choreography of someone who knows exactly how much fold and turn the dough needs. She leaves loaves on the front table with little handwritten notes. On market days her bread disappears first.""]",We're at the community kitchen this afternoon — would Lena bake a lavender sourdough loaf now?,at the community kitchen,yes,Yes — Lena only bakes lavender sourdough loaves when she's at the community kitchen.
Gideon,character,double-ties his shoelaces,mood,only when feeling nervous,"[""Gideon carries a restless energy in his palms and an old pair of sneakers that are almost part of him. He has a little ritual of double-tying his shoelaces, fiddling with the loops until they look exactly right. He chews on the inside of his cheek and straightens his collar before stepping into crowds. Before interviews or public talks his stomach knots and his breath comes a fraction faster. Friends will tell you he smooths his notes three times and checks the door twice. Most of the time it's in those tight, jittery moments that he resorts to neat, small rituals to steady himself. Afterwards he can joke about his eccentricities and relax into conversation. He keeps a spare pair of laces in his briefcase just in case.""]",Gideon seems calm and relaxed right now — would he double-tie his laces?,calm and relaxed,no,No — Gideon is calm and he only double-ties his shoelaces when he's feeling nervous.
